COMMENTS,Label
"இது ஸ்டைலானது மற்றும் துருவப்படுத்தப்பட்ட கண்ணாடிகளுடன்,",Positive
அது பாதுகாப்பான பேக்கிங்குடன் வந்தது,Positive
நான் படித்ததில் மிக மோசமான புத்தகம்,negative
இது உண்மையான ஒன்று,Positive
சூப்பர் வசதியான பொருள்,Positive
நல்ல தயாரிப்பு.... சூப்பர் குவாலிட்டி.... பரிந்துரைக்கப்பட்ட தயாரிப்பு,positive
"அவை நன்கு பொருந்துகின்றன, விரைவான விநியோக சேவை, விற்பனையாளரை மிகவும் பரிந்துரைக்கின்றன",positive
என் டி-ஷர்ட்டில் ஓட்டை இருந்தது.. அதை திருப்பிக் கொடுத்து விட்டேன். தயவுசெய்து எனது பணத்தைத் திருப்பித் தரவும்,negative
நல்ல தரம் மற்றும் மிகவும் பரந்த விநியோகம்,positive
"அழகாக இருக்கிறது,நன்றி &நான் பரிந்துரைக்கிறேன்",positive
நல்ல தரமான தயாரிப்பு. மிகுந்த திருப்தி.,positive
"வண்ணங்கள் நன்றாக உள்ளன, பொருள் மிகவும் நல்லது",positive
விலை மதிப்பு.... வாங்கி மகிழுங்கள்,positive
"மிகவும் நல்ல பொருள், மென்மையான மற்றும் வசதியானது.",positive
விற்பனையாளர் தயவுசெய்து வாடிக்கையாளர் வேண்டுகோளைப் பின்பற்றவும்.,negative
அனைத்து தயாரிப்புகளிலும் நான் உண்மையிலேயே திருப்தி அடைந்தேன்.,positive
"அது நன்றாக இருந்தது, பொருள் தரமானது.",positive
மிக அருமை.சிறந்த தரம்... நான் மிகவும் பரிந்துரைக்கிறேன்,positive
"விளக்கத்தில் குறிப்பிட்டுள்ளபடி மிகவும் நல்ல தயாரிப்பு, மிகவும் பரிந்துரைக்கப்படுகிறது.",positive
மிக மிக நன்றி. அவ்வளவு அழகாக இருக்கிறது. எனக்கு பிடித்திருக்கிறது,positive
"மிகவும் ஆச்சரியமாகவும், தரத்தில் திருப்தியாகவும் இருந்தது!",positive
"நான் XXL ஆர்டர் செய்தேன், அது எனக்கு பொருத்தமானது!",positive
இந்த வாங்குதலில் எனக்கு அதிக திருப்தி இல்லை,positive
இது நல்ல ஒலி மற்றும் நல்ல அளவைக் கொண்டுள்ளது,positive
ஒலி சற்று மோசமாக உள்ளது,negative
விற்பனையாளரின் விலைக்கு அது மதிப்புக்குரியது,positive
மொத்தத்தில்: நல்ல தரமான டார்ச்.,positive
விலைக்கு நல்லது... பனை அளவு பெரியதாக இருக்கும் என்று எதிர்பார்த்தேன்,positive
போனைப் பாதுகாக்க போதுமான குஷன் இல்லை,negative
என் ஆர்டர் நல்ல வரவேற்பை பெற்றது நன்றி பெரிய முத்தங்கள்,positive
தயாரிப்பில் திருப்தி,positive
நான் தினமும் அதை குளிர்ச்சியாகவும் வசதியாகவும் பயன்படுத்துகிறேன்.,positive
சார்ஜர் பிளக் வேலை செய்யவில்லை தயவு செய்து திரும்ப பெறவும்,negative
சிறந்த ஒன்று,positive
சிறந்த சேவை.,positive
தயாரிப்பில் மிகவும் திருப்தி.,positive
சிறிய மோசமான தையல் ஆனால் என் கணவர் விரும்பும் நல்ல துணி,positive
எனக்கு ரொம்ப பிடிச்சிருந்தது.. மேலும் ஒன்றை ஆர்டர் செய்யலாம்,positive
தயாரிப்பு சீக்கிரம் வந்தது,positive
நல்ல தயாரிப்புக்கு நன்றி தயவுசெய்து தொடரவும்,positive
அளவிற்கான அட்டவணை ஒத்திருக்கிறது.,positive
என் மகனுக்கு அது பிடித்திருந்தது,positive
டெலிவரி மிகவும் மெதுவாக இருந்தது.,negative
மிக வேகமாக அனுப்பப்பட்டது,positive
விநியோகம் உடைந்துவிட்டது. கூடிய விரைவில் தேவையான தீர்வை வழங்கவும்,negative
இந்த சங்கிலி ஒரு நாள் மட்டுமே பயன்படுத்தப்பட்டது,negative
நான் மிகவும் வருத்தமாக இருக்கிறேன்.,negative
மிக நல்ல விற்பனையாளர்,positive
"விரைவான விநியோகம், நல்ல தயாரிப்பு",positive
குறிப்பிட்ட நேரத்திற்கு முன்பே பொருள் டெலிவரி செய்யப்பட்டது.,positive
முற்றிலும் ஏமாற்றம்,negative
மோசமான ஆர்டர் மோசமான சேவை,negative
நீங்கள் தவறான தயாரிப்பை அனுப்புகிறீர்கள்,negative
வாங்குவதற்கு முன் அளவு நீளத்தை சரிபார்க்கவும்.,negative
இது மிகவும் அழகாக உள்ளது இந்த விற்பனையாளரை நான் மிகவும் பரிந்துரைக்கிறேன்,positive
பொருள் தரம் குறித்து மகிழ்ச்சியடையவில்லை,negative
பரவாயில்லை,positive
நல்ல தொகுப்பு,positive
"நல்ல தரம், எதிர்பார்க்கப்பட்ட நேரத்திற்கு முன்பே பெறப்பட்டது",positive
நான் இந்த தயாரிப்பை திருப்பித் தர விரும்புகிறேன்,negative
இந்த விற்பனையாளரின் சேவையில் முற்றிலும் அதிருப்தி.,negative
இது போன்ற விற்பனையாளர்களை நம்பவே முடியாது. பெரும் ஏமாற்றம்!!!!,negative
எதிர்பார்த்ததை விட இந்த ஷூ ஜோடியால் மிகவும் திருப்தி அடைந்தேன்.,positive
நல்ல தரம் மற்றும் விலைக்கு ஏற்றது.,positive
இது நல்ல நிலையில் உள்ளது,positive
நம்பகமான விற்பனையாளர்,positive
தரமான தயாரிப்பு இந்த விற்பனையாளருக்கு நான் பரிந்துரைக்கிறேன்,positive
பொறுப்பற்ற விற்பனையாளருக்காக என் பணத்தை வீணடித்தேன்!!,negative
நான் நினைத்ததை விட நன்றாக இருந்தது. திருப்தி!,positive
தயவுசெய்து புதிய ஒன்றை அனுப்பவும் அல்லது பணத்தைத் திருப்பித் தரவும்,negative
தயாரிப்பு உண்மையில் ஏமாற்றமளித்தது,positive
ஒரு நல்ல தயாரிப்பு அல்ல. இது இந்த விலைக்கு மதிப்பு இல்லை. தயவு செய்து இதை வாங்க வேண்டாம்,negative
நான் வாங்க பரிந்துரைக்கிறேன்,positive
சிறந்த தயாரிப்பு. விரைவான டெலிவரி.,positive
ஏர்போட்கள் சார்ஜ் செய்யப்படவில்லை,negative
ஒலி அவ்வளவு நன்றாக இல்லை,negative
ஒரு பக்கம் வேலை செய்யவில்லை,negative
"ஒரிஜினலாகத் தெரிகிறது, ஆனால் தரம் சிறந்தது அல்ல!",negative
நான் இந்த தயாரிப்பை நேசித்தேன் நன்றி,positive
நான் முழுமையாக சோதிக்க வேண்டும்,negative
"பரிமாற்ற வேகம் பரவாயில்லை, ஆனால் அவ்வளவு பெரியதல்ல",negative
ஒரு உண்மையான தயாரிப்பு அதன் அசல் பேக்கிங்குடன் வந்தது.,positive
விரைவாகவும் கச்சிதமாகவும் வேலை செய்கிறது,positive
இது ஒரு நல்ல தோற்றத்தைக் கொண்டுள்ளது மற்றும் இது மிகவும் சிறியது,positive
உலோகப் பகுதி காரணமாக வெப்பத்தை சற்று அதிகமாக உணர்கிறேன்.,negative
கச்சிதமான மற்றும் லேசான எடை.,positive
பாக்கெட் திறக்கப்பட்டது. இது உத்தரவாத ஸ்டிக்கர் ஒட்டுவதற்காக என்று விற்பனையாளர் கூறுகிறார்.,negative
இது எனது தொலைபேசியுடன் நன்றாக வேலை செய்கிறது மற்றும் மிகவும் வசதியாக உணர்கிறேன்,positive
எதிர்மறையாக சொல்வதற்கு ஒன்றுமில்லை,positive
சன்ரோவின் உத்தரவாத & அசல் தயாரிப்புடன் வந்தது.,positive
தகவல்தொடர்பு சிறந்தது,positive
விநியோகம் மற்றும் பதில் மிகவும் திருப்தி அளிக்கிறது,positive
இது ஒரு வேகமான பென்டிரைவ் ஆகும்.,positive
மிகவும் பரிந்துரைக்கப்படுகிறது,positive
நட்பு மற்றும் எளிமையான விற்பனையாளர்.,positive
கோப்பு பரிமாற்ற வேகம் மிகவும் நல்லது.,positive
விரைவான டெலிவரி மற்றும் 5 ஆண்டு உத்தரவாதத்தைக் கொண்டுள்ளது,positive
5 ஆண்டு உத்தரவாத அட்டையுடன் 24 மணி நேரத்திற்குள் ஆர்டர் கிடைத்தது.,positive
சரியான நேரத்தில் பொருள் கிடைத்தது.,positive
அது எதிர்பார்த்தபடி வேலை செய்கிறது.,positive
அசல் தயாரிப்பு மற்றும் விற்பனையாளர் தகவல்தொடர்பு மற்றும் ஆதரவு மிக உயர்ந்த வரம்பில் உள்ளது.,positive
நான் கூடுதல் ஓடிஜி கனெக்டர்களைப் பெற்றுள்ளேன். நன்றி விற்பனையாளர்..!,positive
நல்ல நிலை,positive
daraz இடமிருந்து எனது முதல் கொள்முதல் மற்றும் மேலும் எதிர்பார்க்கிறேன்.,positive
எல்லாம் நல்லா இருக்கும்னு நம்புறேன்.,positive
சரியாக வேலை செய்கிறது,positive
நல்ல தரமான தயாரிப்பு அனைவருக்கும் 100% பரிந்துரைக்கப்படுகிறது,positive
விலை மற்றும் வேகமான டெலிவரிக்கு ஏற்றது,positive
"சிறந்தது, பணத்திற்கு மதிப்புமிக்கது",positive
"நல்ல பொருள், நல்ல விற்பனையாளர்.",positive
பொருள் நன்றாக இல்லை,negative
சூப்பர் தயாரிப்பு,positive
விலை மதிப்பு,positive
சிறந்த தரத்தில் பொருள் கிடைத்தது,positive
அளவு நான் எதிர்பார்த்ததை விட சிறியது .,negative
நல்ல தயாரிப்பு மற்றும் விரைவாக வந்தது,positive
சிறந்த தயாரிப்புகளில் ஒன்று,positive
"நான் இந்த கடிகாரத்தை வாங்கினேன், ஏனெனில் அதில் கார்னெட்கள் குறைவாக உள்ளன",positive
இந்த கடிகாரம் நான் நினைத்ததை விட சிறந்தது,positive
இது மிகவும் அழகானது மற்றும் ஒரிஜினல் போல தோற்றமளிக்கிறது.,positive
நல்ல தரமான பொருள்.,positive
தயாரிப்பில் மிகவும் திருப்தி.,positive
இந்த விற்பனையாளரை 100% பரிந்துரைக்க முடியும்.,positive
தயாரிப்பு மற்றும் நல்ல தரத்தில் நான் திருப்தியடைகிறேன்,positive
இது பருத்தி அல்ல.,negative
கூடைப்பந்து விளையாடும்போது மிகவும் வசதியாக இருக்கும்,positive
சரியான தயாரிப்பு மற்றும் விரைவான விநியோகம்,positive
மென்மையான மற்றும் அழகாக இருக்கும்,positive
சரியான பொருத்தம். நன்றாக உணர்கிறேன்.,positive
நல்ல பொருள். தரமான தயாரிப்பு.,positive
நல்ல தயாரிப்பு. நன்றி,positive
சிறந்த தயாரிப்பு,positive
மிகச்சிறந்த! உயர் தரமான பொருள்,positive
நீண்ட நேரம் அணியலாம்!,positive
தயாரிப்பு விவரிக்கப்பட்டுள்ளது,positive
நான் எதிர்பார்த்ததை விட சிறந்தது,positive
என் மருமகளுக்கு வாங்கப்பட்டது மிகவும் நல்லது,positive
ஒரு அழகான பெட்டியில் வந்தது,positive
மிகவும் பிடித்தது,positive
மிகவும் அழகாக இருக்கிறது,positive
நிச்சயமாக மீண்டும் வாங்குவேன்,positive
தரம் மோசமாக இல்லை,positive
தயாரிப்பு விளக்கம் துல்லியமாக உள்ளது,positive
டெலிவரி வேகமாக உள்ளது,positive
விற்பனையாளர் நல்லவர்,positive
"மிகவும் அழகானது மற்றும் சிறியவர்களுக்கு பயனுள்ளதாக இருக்கும்,",positive
விற்பனையாளர் விவரித்த வண்ணங்கள் ஒரே மாதிரியானவை,positive
சந்தேகமில்லாமல் மற்ற வண்ணங்களில் மீண்டும் ஆர்டர் செய்வேன்,positive
சூப்பர் பரிந்துரைக்கப்படுகிறது !!!,positive
தொகுப்பு மிகவும் அருமையாக உள்ளது,positive
நான் விற்பனையாளர் மற்றும் 100% தயாரிப்புகளை பரிந்துரைக்கிறேன்,positive
"எல்லாம் சரியாக வந்தது, சரி",positive
அதிக நேரம் எடுக்கவில்லை,positive
ஆர்டர் செய்ய சிறிது நேரம் ஆகும் ஆனால் ஷிப்பிங் வேகமாக உள்ளது,positive
இது ஒரு நல்ல தயாரிப்பு,positive
இந்த விற்பனையாளரை நான் மிகவும் பரிந்துரைக்கிறேன்,positive
தயாரிப்பு மிகவும் துல்லியமாக இருந்தது,positive
நான் மிகவும் திருப்தியடைந்தேன்,positive
ஏற்கனவே மற்றொரு ஆர்டரைச் செய்துள்ளேன்,positive
தயாரிப்பில் மகிழ்ச்சி,positive
படங்களில் இருப்பதை விட சிறந்தது,positive
பார்க்க நன்றாக உள்ளது,positive
என்ன எதிர்பார்க்க வேண்டும் என்று எனக்குத் தெரியவில்லை,positive
"அது மிகவும் நன்றாக இருக்கிறது, நான் பரிந்துரைக்கிறேன்",positive
டெலிவரி வேகமாக உள்ளது,positive
தரம் நன்றாக உள்ளது,positive
"டெலிவரி வேகமாக உள்ளது, தரம் நன்றாக உள்ளது",positive
எனது கைக்கடிகாரம் எதிர்பார்த்த தேதிக்கு முன்பே வந்துவிட்டதால் நான் மகிழ்ச்சியடைகிறேன்.,positive
நான் நெக்லஸை விரும்புகிறேன்,positive
உண்மையான நெக்லஸைக் கொடுத்ததற்கு மிக்க நன்றி,positive
நான் அதை வெறித்தனமாக விரும்புகிறேன்,positive
10 நாட்களில் விரைவான டெலிவரி வந்தது,positive
விற்பனையாளர் மிகவும் கவனமாகவும் பொறுப்புடனும் விரைவாக பதிலளித்தார்,positive
இந்த அழகான சங்கிலியை நான் விரும்பினேன்,positive
என் மகளுக்கு இன்னொன்றை ஆர்டர் செய்வேன்,positive
என் நெக்லஸில் நான் மிகவும் மகிழ்ச்சியாக இருக்கிறேன்,positive
விற்பனையாளர் நல்லவர்,positive
மிக நல்ல பொருள்,positive
விரைவாக விநியோகம்,positive
மிகவும் நன்றாக உள்ளது. நான் அதை விரும்புகிறேன்,positive
உண்மையில் சிறந்த தயாரிப்பு!,positive
"தேவைப்படுவதற்கு ஒன்றரை மாதங்களுக்கு முன்பே ஆர்டர் செய்யுங்கள், ஏனெனில் இது உங்களைப் பெற நேரம் எடுக்கும்,",positive
அது துருப்பிடிக்காது,positive
"பொருள் நன்றாக உள்ளது,",positive
நல்ல நேர்த்தியாக தைக்கப்பட்டுள்ளது,positive
விற்பனையாளர் விரைவாக பதிலளிக்கிறார்,positive
உடனடியாக அனுப்பவும்,positive
டெலிவரி வேகமாக உள்ளது,positive
நேர்த்தியாக தைக்கப்பட்டது,positive
தரம் நன்றாக இருக்கிறது,positive
"இலகுரக, வசதியான, அதிக இடத்தை எடுக்காது",positive
"வேட்டையாடுபவர்கள், தப்பிப்பிழைப்பவர்கள் மற்றும் மலையேற்றத்தை விரும்புபவர்கள் கைக்குள் வருவார்கள்.",positive
இரண்டு 32ஜிபி பென் டிரைவ்களை ஆர்டர் செய்தேன். இரண்டும் சரியான அளவுகளுடன் கிடைத்தது.,positive
செயின் ஹோல்டருடன் கூடிய நல்ல தரம் வாய்ந்தது. நல்ல தயாரிப்பு.,positive
குறுகிய காலத்திற்கு நல்லது! அது தரும் ஆறுதல் எனக்கு மிகவும் பிடிக்கும்.,positive
எனக்கு இரண்டு ஜோடிகள் கிடைத்ததில் மகிழ்ச்சி,positive
அவை அழகாகவும் வசதியாகவும் உள்ளன,positive
உண்மையில் விலைமதிப்புள்ளது. நன்றி.,positive
நன்றாக நிரம்பியுள்ளது. அசல் தயாரிப்பு,positive
மிகவும் பரிந்துரைக்கப்பட்ட விற்பனையாளர்,positive
சிறந்த தயாரிப்புகள்,positive
விரைவான கப்பல் போக்குவரத்து,positive
2 பாட்டில்களில் சிறிய கசிவு உள்ளது,negative
இதை அனைவருக்கும் பரிந்துரைக்கிறேன்,positive
"சரியான பேக்கிங், விரைவான விநியோகம், சேதங்கள் இல்லை",positive
வேகமாகவும் பாதுகாப்பாகவும் வந்து சேர்ந்தது.,positive
நல்ல வாசனை. வாங்கியதில் மகிழ்ச்சி நன்றி,positive
இந்த புகைப்படம் தயாரிப்பின் தரத்தை உங்களுக்கு சொல்லும் என்று நினைக்கிறேன்,positive
அவர்களுக்கு எப்படி 5 நட்சத்திரங்கள் என்று தெரியவில்லை.,negative
"மிக விரைவான விநியோகம், சிறந்த பேக்கிங், தயாரிப்பு அருமை.",positive
"நல்ல தயாரிப்பு, விரைவான டெலிவரி",positive
மீண்டும் எனக்கு ஏமாற்றம்,negative
நான் கருப்பு ஒன்றை ஆர்டர் செய்தேன். ஆனால் எனக்கு ரோஜா தங்கம் கிடைத்தது,negative
நீங்கள் படத்தில் காட்டியது போல் இது நீடித்தது அல்ல.,negative
இது போலியானது அதனால் நான் திருப்ப வேண்டும்..,negative
இது தனிப்பயனாக்கப்பட்டதை விட 10 மடங்கு சிறந்தது.,positive
அசெம்பிள் செய்வது எளிது..,positive
என் மனைவிக்கு இது மிகவும் பிடிக்கும். நன்றி Darazzzzz,positive
மிகவும் நல்ல தயாரிப்பு. பரிந்துரைக்கப்படுகிறது,positive
நான் 3 ரேக்குகளை வாங்கினேன் ஆனால் ஒன்று நன்றாக இல்லை என் எதிர்பார்ப்பை விட மிக சிறியவை உள்ளன,negative
விவரித்தது போலவே. அருமையான தரமான டிஷ் ரேக். விரைவான டெலிவரிக்கு நன்றி,positive
பலமாக சிபாரிசு செய்ய படுகிறது,positive
சிறந்த தயாரிப்பு! செலவழித்த பணத்திற்கு நிச்சயமாக மதிப்பு,positive
பொருள் மிகவும் உறுதியானது,positive
சரியான நேரத்தில் டெலிவரி. குறிப்பு படங்கள் இணைக்கப்பட்டுள்ளன.,positive
உயர்தர பொருட்களால் ஆனது,positive
யாருக்கும் பரிந்துரைக்கிறேன். நம்பகமான விற்பனையாளர்.,positive
நல்ல தரம் திருப்தி அடைகிறேன்,positive
ஒரு நல்ல தயாரிப்பு விரைவில் பெறப்பட்டது,positive
நல்ல தரமான உண்மையான பொருள்,positive
வாடிக்கையாளருடன் மிகவும் மோசமான தொடர்பு,negative
மிகவும் மதிப்புமிக்க தள்ளுபடி,positive
இந்த விலையில் பொருட்களை வாங்கியதில் மகிழ்ச்சி அடைந்தேன்,positive
24 மணி நேரத்திற்குள் விரைவான டெலிவரி,positive
நீண்ட காலாவதி தேதி. மிகவும் திருப்தி மற்றும் பரிந்துரைக்கப்படுகிறது,positive
எப்போதும் மிகவும் கவனமுள்ள விற்பனையாளரை பரிந்துரைக்கிறது,positive
"இது மிகவும் வித்தியாசமாக இருக்கும் என்று நான் நினைத்தேன், ஆனால் எனக்கு அது பிடிக்கவில்லை",negative
"இது நன்றாக இருக்கும் என்று நினைத்தேன், ஆனால் அது இல்லை.",negative
இந்த விலை மாற்றத்திற்கான நல்ல தரம். நான் பரிந்துரைத்தேன்,positive
மிகவும் தரமான விலை மற்றும் எதிர்பார்த்ததை விட முன்னதாகவே வந்துள்ளது,positive
விற்பனையாளரின் தயாரிப்பின் விளக்கத்துடன் பொருந்துகிறது,positive
நான் அதை மிகவும் அழகாக நேசித்தேன்,positive
எனக்கு செலவாகும் ஒரு பைசாவிற்கு 100% அழகாக இருக்கிறது,positive
"எனக்கு மிகவும் பிடித்திருந்தது! மென்மையானது, மற்றும் நிறைய நோக்கம் உள்ளது. வாங்க பரிந்துரைக்கிறோம்.",positive
விரைவாக விநியோகித்த விற்பனையாளருக்கு நன்றி,positive
சில தூரிகைகள் மிகவும் அழகாகவும் மற்றவை எளிமையாகவும் வருகின்றன ஆனால் விலை காரணமாக அவை சூப்பர்,positive
தயாரிப்புகள் உயர் தரமானவை. நான் பரிந்துரைக்கிறேன்.,positive
எல்லாம் சரியாக வேலை செய்கிறது,positive
பணத்திற்கு தரம் நல்லது என்று நான் அறிவுறுத்துகிறேன்,positive
முற்றிலும் பிளாஸ்டிக் கடிகாரம்.,positive
நல்ல தரம் மற்றும் மணிக்கட்டின் அளவிற்கு மிகவும் சரிசெய்யக்கூடியது,positive
எந்த பிரச்சனையும் இல்லாமல் மீண்டும் ஆர்டர் செய்வேன்,positive
அது மிக வேகமாக வந்தது,positive
விளக்கத்துடன் பொருந்துகிறது நல்ல தரத்தில் நல்ல விலையில் கடை பரிந்துரைக்கப்படுகிறது,positive
"எப்படி அமைப்பது என்று எனக்குத் தெரியவில்லை, அதனால் வாட்ச் நன்றாக இருக்கிறது.",positive
மிகவும் நன்றாகத் தெரிகிறது,positive
"அதன் விலையில், கொஞ்சம் சிக்கலானது",negative
சூடாகவும் வசதியாகவும் இருக்கிறது,positive
"சரியான பொருத்தம் மற்றும் நல்ல பொருள், நன்றி",positive
தயாரிப்பு தரம் நன்றாக உள்ளது,positive
"சிறந்த உருப்படி, மிக வேகமாக வந்தது (2 வாரங்களுக்கும் குறைவாக)",positive
விற்பனையாளரின் தகவல்தொடர்பு மிக வேகமாகவும் பயனுள்ளதாகவும் இருப்பதை கவனிக்க முடியும்,positive
சிறிய சிக்கல் இருந்தது மற்றும் விற்பனையாளர் உடனடியாக அதைத் தீர்த்தார்,positive
பலமாக சிபாரிசு செய்ய படுகிறது,positive
முகமூடி மிகவும் நொறுங்கிவிட்டது.,negative
விற்பனையாளரிடமிருந்து புகைப்படத்தை விட நிறம் இருண்டது,negative
நல்ல நிலையில் இரண்டு வாரங்களுக்குப் பிறகு நான் தயாரிப்பைப் பெற்றேன்,positive
"ஒரு இனிமையான வாசனையைக் கொண்டுள்ளது,",positive
இந்த சுருக்க எதிர்ப்பு சீரம் மிகவும் நன்றாக வேலை செய்கிறது,positive
"என் நெற்றி மற்றும் காகத்தின் கால்களின் தோற்றத்தை குறைத்துள்ளது, இது மிகவும் அருமை",positive
"மிகவும் நல்ல சீரம், நான் இப்போது 5 வாரங்களாக இதைப் பயன்படுத்துகிறேன்",positive
என் முகத்தில் உள்ள சுருக்கங்கள் மெதுவாக மறைந்து இப்போது மறைந்துவிட்டன,positive
"என் முகத்தில் உள்ள ஸ்பாட் திரவம் கூட நீக்கப்பட்டது, மிகவும் நல்லது!",positive
"தோல் மாறி, மெல்ல மெல்ல குணமடைந்தது",positive
"என் நெற்றியிலும் முகத்திலும் உள்ள கோடுகள் குறைந்து, என் தோல் மென்மையாகவும் ஈரப்பதமாகவும் மாறிவிட்டது",positive
100% பரிந்துரைக்கிறேன்!,positive
நான் அதை என் அம்மாவுக்காக வாங்கினேன்இது மிகவும் ஈரப்பதம் மற்றும் பயன்படுத்த எளிதானது என்று அவர்கூறுகிறார்,positive
நான் தொடர்ந்து வாங்குவேன்,positive
அற்புதம்! நான் 3 கெட் 2 பேக்கேஜை வாங்கினேன்,positive
அதைப் பயன்படுத்தியபிறகு என் கண்களைச் சுற்றியுள்ள கோடுகளையும் சுருக்கங்களையும் மேம்படுத்துவதைக் கண்டேன்,positive
முழு முகமும் சுருக்கங்களின் அடிப்படையில் வியத்தகு முறையில் மாறிவிட்டது,positive
இந்த தயாரிப்பை நேசிக்கவும் மற்றும் விற்பனையாளரை மிகவும் நேசிக்கவும்,positive
"இந்த சீரம் பயன்படுத்துவதால், எனது முழு சருமமும் மிகச் சிறந்த நிலையில் உள்ளது",positive
"நான் சிரிக்கும்போது, ​​என் கண்களைச் சுற்றி சுருக்கங்கள் உருவாகாது",positive
"இது மிகவும் நல்லது! கண்டிப்பாக தொடர்ந்து வாங்கி பயன்படுத்துவேன்,",positive
"நான் தினமும் பயன்படுத்துகிறேன், இப்போது என் முகம் சுருக்கம் இல்லாமல் உள்ளது",positive
"என் கழுத்தில் உள்ள தோல் மேம்பட்டுள்ளது, நான் அதை தொடர்ந்து பயன்படுத்துவேன்",positive
"தரம் மிகவும் நன்றாக உள்ளது, வாங்கியதில் மகிழ்ச்சி அடைகிறேன்.",positive
"விரைவாக வந்துவிட்டது, தயாரிப்பில் எந்த சேதமும் இல்லை",positive
"நல்ல தொலைபேசி, 16 நாட்களுக்குப் பிறகு வருகை, கடை மற்றும் நல்ல விற்பனையாளர் நன்றி",positive
வாக்குறுதியளித்தபடி தொகுப்பு வந்தது,positive
விற்பனையாளர் எனது கோரிக்கைகளுக்கு மிகவும் பதிலளித்தார்,positive
நான் ஆர்டர் செய்த துல்லியமான தயாரிப்பைப் பெற்றேன்,positive
நான் தொலைபேசியின் தொழில்நுட்ப ஆரோக்கியத்தைப் பார்த்துவிட்டு இரண்டாவது மதிப்பாய்விற்கு வருவேன்,positive
